publishedAtDate,title,stars
2019-01-25 20:36:35.678,Instituto de Ciencias,5
2018-12-12 18:56:18.891,Instituto de Ciencias,1
2018-11-29 12:24:55.584,Instituto de Ciencias,4
2018-11-20 19:51:33.335,Instituto de Ciencias,1
2018-11-02 00:08:09.467,Instituto de Ciencias,5
2018-08-13 17:31:21.911,Instituto de Ciencias,5
2018-07-25 20:23:29.328,Instituto de Ciencias,5
2018-07-21 00:55:45.646,Instituto de Ciencias,5
2018-05-24 20:54:12.062,Instituto de Ciencias,5
2018-04-29 06:05:04.069,Instituto de Ciencias,5
2018-04-16 20:27:29.141,Instituto de Ciencias,5
2018-03-10 18:31:30.668,Instituto de Ciencias,5
2018-02-28 21:28:51.674,Instituto de Ciencias,4
2018-02-26 22:51:08.634,Instituto de Ciencias,5
2018-02-10 18:36:57.477,Instituto de Ciencias,5
2018-02-09 20:07:34.950,Instituto de Ciencias,5
2018-01-21 17:37:00.757,Instituto de Ciencias,5
2018-01-15 20:22:50.050,Instituto de Ciencias,5
2018-01-07 11:16:02.009,Instituto de Ciencias,5
2017-11-14 06:25:22.888,Instituto de Ciencias,5
2017-11-06 17:15:09.803,Instituto de Ciencias,5
2017-11-02 00:43:37.916,Instituto de Ciencias,5
2017-06-07 14:34:06.659,Instituto de Ciencias,5
2017-06-07 12:56:26.210,Instituto de Ciencias,5
2017-06-05 00:20:54.222,Instituto de Ciencias,5
2017-05-29 14:15:36.150,Instituto de Ciencias,5
2017-05-23 02:14:01.187,Instituto de Ciencias,5
2017-05-08 22:27:09.208,Instituto de Ciencias,5
2017-04-17 19:11:08.837,Instituto de Ciencias,5
2017-02-07 21:18:47.683,Instituto de Ciencias,5
2017-02-03 22:42:43.138,Instituto de Ciencias,5
2016-12-14 03:47:22.040,Instituto de Ciencias,5
2016-12-07 20:41:20.313,Instituto de Ciencias,5
2016-10-25 22:07:28.829,Instituto de Ciencias,5
2016-10-12 21:54:56.498,Instituto de Ciencias,5
